station_name,station_id,lat,lng
Lafayette St & E 8 St,5788.13,40.73020660529954,-73.99102628231049
Lafayette St & E 8 St,5788.13,40.730207,-73.991026
1 Ave & E 39 St,6303.01,40.74714,-73.97113
E 6 St & Avenue B,5584.04,40.72453734,-73.98185424
E 6 St & Avenue B,5584.04,40.724537,-73.981854
W 63 St & Broadway,7052.01,40.77163851,-73.98261428
W 63 St & Broadway,7052.01,40.771638,-73.982614
W 63 St & Broadway,7052.01,40.771639,-73.982614
W 63 St & Broadway,7052.01,40.76669671,-73.99061728
W 49 St & 8 Ave,6747.06,40.762272,-73.987882
W 49 St & 8 Ave,6747.06,40.76227205,-73.98788205
10 Ave & W 28 St,6459.04,40.75066386,-74.00176802
10 Ave & W 28 St,6459.04,40.750663,-74.001768
10 Ave & W 28 St,6459.04,40.750664,-74.001768
Canal St & Rutgers St,5303.08,40.714274,-73.9899
Canal St & Rutgers St,5303.08,40.71427487,-73.98990025
Canal St & Rutgers St,5303.08,40.714275,-73.9899
1 Ave & E 78 St,7020.09,40.77140426,-73.9535166
1 Ave & E 78 St,7020.09,40.771404,-73.953516
1 Ave & E 78 St,7020.09,40.771404,-73.953517
W 43 St & 10 Ave,6756.01,40.76009437,-73.99461843
W 43 St & 10 Ave,6756.01,40.760094,-73.994618
E 25 St & 2 Ave,6046.02,40.739126,-73.979737
E 25 St & 2 Ave,6046.02,40.73912601,-73.97973776
E 25 St & 2 Ave,6046.02,40.739126,-73.979738
Christopher St & Greenwich St,5847.01,40.732915,-74.007113
Christopher St & Greenwich St,5847.01,40.73291553,-74.00711384
Christopher St & Greenwich St,5847.01,40.732916,-74.007114
E 31 St & 3 Ave,6239.08,40.74394314,-73.97966069
E 31 St & 3 Ave,6239.08,40.743943,-73.97966
E 31 St & 3 Ave,6239.08,40.743943,-73.979661
Columbus Ave & W 72 St,7175.05,40.7770575,-73.97898475
Columbus Ave & W 72 St,7175.05,40.777057,-73.978984
Columbus Ave & W 72 St,7175.05,40.777058,-73.978985
W 33 St & 7 Ave,6407.07,40.7502,-73.990931
W 33 St & 7 Ave,6407.07,40.750199,-73.99093
E 27 St & 1 Ave,6004.06,40.739445,-73.976806
Washington St & Gansevoort St,6039.06,40.739323,-74.008119
8 Ave & W 31 St,6450.05,40.750585,-73.994684
8 Ave & W 31 St,6450.05,40.7505853470215,-73.9946848154068
8 Ave & W 31 St,6450.05,40.750585,-73.994685
Amsterdam Ave & W 73 St,7260.09,40.77966809007312,-73.98093044757842
Amsterdam Ave & W 73 St,7260.09,40.779668,-73.98093
Broadway & W 51 St,6779.04,40.76228826,-73.98336183
Broadway & W 51 St,6779.04,40.762288,-73.983362
Broadway & W 51 St,6779.04,40.762288,-73.983361
E 20 St & 2 Ave,5971.08,40.735877,-73.98205
E 20 St & 2 Ave,5971.08,40.73587678,-73.98205027
E 20 St & 2 Ave,5971.08,40.735876,-73.98205
E 2 St & Avenue B,5515.02,40.72217444,-73.98368779
E 2 St & Avenue B,5515.02,40.722174,-73.983687
E 2 St & Avenue B,5515.02,40.722174,-73.983688
St Marks Pl & 2 Ave,5669.1,40.7284186,-73.98713956
St Marks Pl & 2 Ave,5669.1,40.728418,-73.987139
St Marks Pl & 2 Ave,5669.1,40.728419,-73.98714
Lafayette St & Jersey St,5561.06,40.72456,-73.995652
Lafayette St & Jersey St,5561.06,40.72456089,-73.99565293
Lafayette St & Jersey St,5561.06,40.724561,-73.995653
Lafayette St & Jersey St,5561.06,40.755293,-73.967641
2 Ave & E 31 St,6197.02,40.74290902,-73.97706058
2 Ave & E 31 St,6197.02,40.742909,-73.977061
2 Ave & E 31 St,6197.02,40.742909,-73.97706
University Pl & E 8 St,5755.14,40.731437,-73.994903
University Pl & E 8 St,5755.14,40.73143724085228,-73.99490341544151
Mott St & Prince St,5561.04,40.72317958,-73.99480012
Mott St & Prince St,5561.04,40.723179,-73.9948
Mott St & Prince St,5561.04,40.72318,-73.9948
W 22 St & 8 Ave,6224.03,40.744751,-73.999154
W 22 St & 8 Ave,6224.03,40.74475148,-73.99915362
W 22 St & 8 Ave,6224.03,40.744751,-73.999153
10 Ave & W 14 St,6157.04,40.74198159994023,-74.00831580162048
10 Ave & W 14 St,6157.04,40.741981,-74.008315
10 Ave & W 14 St,6157.04,40.741982,-74.008316
W 26 St & 8 Ave,6297.02,40.747348,-73.997235
W 26 St & 8 Ave,6297.02,40.74734825,-73.99723551
W 26 St & 8 Ave,6297.02,40.747348,-73.997236
1 Ave & E 62 St,6753.08,40.7612274,-73.96094022
1 Ave & E 62 St,6753.08,40.761227,-73.96094
Norfolk St & Broome St,5374.01,40.7172274,-73.98802084
Norfolk St & Broome St,5374.01,40.717227,-73.988021
Norfolk St & Broome St,5374.01,40.717227,-73.98802
1 Ave & E 18 St,5854.09,40.73381219196632,-73.98054420948029
1 Ave & E 18 St,5854.09,40.733812,-73.980544
Kent Ave & N 7 St,5489.03,40.72036775298455,-73.96165072917938
Kent Ave & N 7 St,5489.03,40.720367,-73.96165
Kent Ave & N 7 St,5489.03,40.720368,-73.961651
W 27 St & 7 Ave,6247.06,40.746647,-73.993915
